"id","number","name","fate"
"441","300183","东软载波","15.61"
"442","300137","先河环保","5.66"
"443","300124","汇川技术","67.01"
"444","300114","中航电测","49.15"
"445","300109","新开源","22.57"
"446","300092","科新机电","15.21"
"447","300049","福瑞股份","21.36"
"448","300047","天源迪科","7.66"
"449","3023","彩虹集团","20.57"
"450","3013","地铁设计","19.51"
"451","3002","壶化股份","16.95"
"452","2971","和远气体","26.14"
"453","2961","瑞达期货","14.8"
"454","2946","新乳业","14.38"
"455","2941","新疆交建","15.8"
"456","2915","中欣氟材","16.16"
"457","2900","哈三联","14.1"
"458","2878","元隆雅图","16.96"
"459","2871","伟隆股份","12.36"
"460","2859","洁美科技","29.1"
"461","2841","视源股份","62.5"
"462","2813","路畅科技","33.66"
"463","2808","ST恒久","6.38"
"464","2800","ST天顺","15.22"
"465","2705","新宝股份","18"
"466","2700","ST浩源","4.36"
"467","2695","煌上煌","11.38"
"468","2690","美亚光电","25.5"
"469","2641","公元股份","5.9"
"470","2606","大连电瓷","8.91"
"471","2600","领益智造","6.89"
"472","2598","山东章鼓","11.3"
"473","2596","海南瑞泽","2.85"
"474","2567","唐人神","7.22"
"475","2552","宝鼎科技","18.03"
"476","2548","金新农","7.4"
"477","2523","天桥起重","2.92"
"478","2518","科士达","37.73"
"479","2510","天汽模","3.95"
"480","2487","大金重工","30.73"
"481","2475","立讯精密","33.56"
"482","2448","中原内配","7.7"
"483","2436","兴森科技","14.47"
"484","2389","航天彩虹","22.07"
"485","2384","东山精密","23.6"
"486","2379","宏创控股","4.39"
"487","2368","太极股份","42.48"
"488","2363","隆基机械","7.39"
"489","2357","富临运业","7.34"
"490","2343","慈文传媒","7.75"
"491","2302","西部建设","7.35"
"492","2275","桂林三金","16.62"
"493","2254","泰和新材","23.75"
"494","2205","国统股份","10.62"
"495","2200","ST交投","8.24"
"496","2198","嘉应制药","7.64"
"497","2182","云海金属","21.08"
"498","2179","中航光电","44.07"
"499","2162","悦心健康","4.4"
"500","2157","*ST正邦","2.83"
"501","2148","北纬科技","5.81"
"502","2124","天邦食品","4.55"
"503","2122","汇洲智能","3.8"
"504","2114","罗平锌电","7.42"
"505","2107","沃华医药","5.98"
